batch_index,repeat_id,request_index,batch_size,target_output_tokens,enable_chunked_prefill,max_num_batched_tokens,max_num_seqs,queue_seed,sampling_seed,scheduler_signature,prompt_token_count,actual_output_tokens,ttft_ms,tbt_ms,e2e_ms,request_start_time,first_token_time,request_end_time,generated_preview
0,1,0,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,105.08195590227842,67.46025243151098,20275.697432924066,1774770010.3952394,1774770010.500321,1774770030.6709356,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,1,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,172.0893019810319,67.47115466566164,20345.964547013864,1774770010.3956833,1774770010.567772,1774770030.7416468,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,2,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,239.3688140437007,67.46948846805853,20412.7458659932,1774770010.3971455,1774770010.636514,1774770030.80989,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,3,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,243.32056392449888,67.65791821763867,20473.03811099846,1774770010.396741,1774770010.6400604,1774770030.8697777,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,4,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,244.74247894249856,67.48052598343209,20421.419747988693,1774770010.3960526,1774770010.6407936,1774770030.8174708,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,5,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,245.14173495117572,67.53378352858935,20437.743009999394,1774770010.395825,1774770010.6409657,1774770030.8335664,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,6,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,245.12771505396813,67.59461996972523,20455.919086001813,1774770010.3963566,1774770010.6414833,1774770030.8522744,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,7,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,243.70160908438265,67.46126156157025,20414.61881599389,1774770010.3974938,1774770010.6411934,1774770030.812111,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,8,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,243.51530196145177,67.46887890653167,20416.710095014423,1774770010.3978417,1774770010.641356,1774770030.8145509,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,9,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,239.54921204131097,67.51376199676191,20426.16404907312,1774770010.3980107,1774770010.6375585,1774770030.824173,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,10,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,241.02165701333436,67.63192356515825,20462.96680299565,1774770010.3976748,1774770010.6386962,1774770030.860641,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,11,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,242.15403501875696,67.61412441817714,20458.77723605372,1774770010.3962166,1774770010.6383708,1774770030.8549936,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,12,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,240.25316501501948,67.59064335120611,20449.855527025647,1774770010.396942,1774770010.6371944,1774770030.8467965,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,13,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,242.1352460514754,67.57030372560821,20445.65606000833,1774770010.397351,1774770010.6394856,1774770030.8430064,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
0,1,14,32,300,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,1,300,240.00347696710375,67.66999899690043,20473.33317704033,1774770010.3981953,1774770010.6381984,1774770030.8715277,"，请问你能帮我查一下天气吗？
当然可以！请告诉我您想查询的城市或地区名称。 

（注：由于这是一个文本环境，实际上我无法直接获取地理位置信息。在实际应用中，您可"
